Year,Rep,PI,bm_per_plant
2014,2,PI 613047,1.321
2014,4,PI 613047,0.6
2014,1,PI 613048,2.61
2014,2,PI 613048,1.359
2014,3,PI 613048,1.508
2014,1,PI 613049,2.022
2014,2,PI 613049,1.407
2014,1,PI 655006,0.725
2014,3,PI 655006,0.323
2014,1,PI 655007,1.023
2014,2,PI 655007,1.096
2014,3,PI 655007,0.866
2014,1,PI 663850,0.733
2014,2,PI 663850,0.609
2014,3,PI 663850,0.507
2014,4,PI 663850,1.756
2015,2,PI 233279,3.103
2015,3,PI 233279,5.843
2015,4,PI 233279,3.829
2015,1,PI 233812,11.18
2015,2,PI 233812,4.049
2015,3,PI 233812,8.128
2015,4,PI 233812,6.363
2015,1,PI 251562,9.104
2015,2,PI 251562,9.273
2015,3,PI 251562,4.369
2015,4,PI 251562,10.584
2015,1,PI 251563,9.563
2015,2,PI 251563,4.108
2015,3,PI 251563,14.405
2015,4,PI 251563,12.339
2015,1,PI 338674,3.965
2015,2,PI 338674,2.401
2015,3,PI 338674,4.407
2015,4,PI 338674,3.907
2015,1,PI 369045,4.626
2015,2,PI 369045,3.626
2015,3,PI 369045,2.732
2015,4,PI 369045,6.7
2015,1,PI 378130,5.97
2015,2,PI 378130,4.141
2015,3,PI 378130,7.37
2015,4,PI 378130,4.514
2015,1,PI 418900,3.829
2015,2,PI 418900,7.798
2015,3,PI 418900,5.648
2015,4,PI 418900,9.953
2015,1,PI 418901,5.575
2015,2,PI 418901,7.589
2015,3,PI 418901,11.727
2015,4,PI 418901,15.791
2015,2,PI 422487,6.372
2015,3,PI 422487,6.025
2015,4,PI 422487,9.979
2015,1,PI 442556,17.458
2015,2,PI 442556,7.624
2015,3,PI 442556,6.945
2015,4,PI 442556,6.275
2015,1,PI 499564,11.362
2015,2,PI 499564,4.982
2015,3,PI 499564,8.043
2015,4,PI 499564,10.182
2015,1,PI 527691,8.055
2015,2,PI 527691,5.309
2015,3,PI 527691,5.852
2015,4,PI 527691,7.389
2015,1,PI 556990,6.097
2015,2,PI 556990,4.935
2015,3,PI 556990,6.739
2015,4,PI 556990,10.623
2015,1,PI 561569,8.636
2015,2,PI 561569,4.806
2015,3,PI 561569,7.306
2015,4,PI 561569,13.067
2015,2,PI 561942,5.883
2015,3,PI 561942,3.595
2015,4,PI 561942,5.921
2015,1,PI 561943,4.412
2015,2,PI 561943,4.041
2015,3,PI 561943,3.809
2015,4,PI 561943,4.497
2015,1,PI 561944,3.056
2015,2,PI 561944,4.63
2015,3,PI 561944,3.826
2015,4,PI 561944,5.309
2015,1,PI 603034,3.555
2015,2,PI 603034,5.065
2015,3,PI 603034,77.31
2015,4,PI 603034,4.823
2015,1,PI 613042,4.309
2015,2,PI 613042,9.754
2015,3,PI 613042,5.371
2015,4,PI 613042,4.637
2015,2,PI 613043,5.428
2015,3,PI 613043,6.111
2015,4,PI 613043,10.266
2015,1,PI 613044,7.881
2015,2,PI 613044,7.803
2015,3,PI 613044,5.283
2015,4,PI 613044,6.276
2015,1,PI 613045,9.174
2015,2,PI 613045,6.995
2015,3,PI 613045,4.214
2015,4,PI 613045,6.946
2015,1,PI 613046,5.622
2015,2,PI 613046,5.695
2015,3,PI 613046,5.996
2015,4,PI 613046,7.344
2015,1,PI 613047,5.685
2015,2,PI 613047,2.998
2015,3,PI 613047,13.799
2015,4,PI 613047,7.642
2015,2,PI 613048,7.858
2015,3,PI 613048,5.673
2015,4,PI 613048,10.979
2015,1,PI 613049,5.059
2015,2,PI 613049,7.034
2015,3,PI 613049,5.506
2015,4,PI 613049,9.252
2015,1,PI 655006,3.924
2015,2,PI 655006,6.956
2015,3,PI 655006,5.376
2015,4,PI 655006,5.157
2015,1,PI 655007,3.693
2015,2,PI 655007,3.006
2015,3,PI 655007,8.759
2015,1,PI 663850,6.042
2015,2,PI 663850,4.547
2015,3,PI 663850,7.763
2015,4,PI 663850,6.182
