Year,Rep,PI,pctN,pctfromBNF
2014,2,PI 613045,2.262,43.113
2014,3,PI 561944,2.366,47.151
2014,2,PI 561943,2.238,47.837
2014,3,PI 613046,2.045,48.18
2014,2,PI 613047,2.217,50.623
2014,2,PI 655007,2.743,52.904
2014,3,PI 613048,2.077,53.308
2014,2,PI 561944,2.04,53.812
2014,2,PI 613046,2.131,54.943
2014,1,PI 561942,2.499,57.85
2014,1,PI 603034,2.712,59.182
2014,1,PI 613042,2.415,64.653
2014,1,PI 613048,2.288,66.812
2013,4,PI 338674,2.571,69.267
2013,1,PI 418900,2.008,69.973
2013,1,PI 233812,2.414,70.213
2013,3,PI 378130,1.846,70.258
2013,1,PI 378130,2.277,70.943
2013,1,PI 561943,2.526,75.267
2013,2,PI 655006,2.035,75.661
2013,4,PI 561944,2.31,75.853
2013,1,PI 442556,1.994,76.441
2013,2,PI 422487,2.004,76.469
2013,3,PI 369045,2.336,77.022
2013,2,PI 233279,2.075,77.135
2013,4,PI 561942,1.876,77.195
2013,4,PI 369045,2.223,77.626
2013,2,PI 338674,1.813,77.942
2013,4,PI 603034,2.41,78.016
2013,1,PI 561944,2.154,78.076
2013,3,PI 613049,2.368,78.693
2013,2,PI 418901,2.111,78.809
2013,4,PI 561569,1.877,78.809
2013,2,PI 556990,1.922,78.991
2013,1,PI 613049,1.991,79.055
2013,1,PI 613048,1.912,79.066
2013,4,PI 251563,1.998,79.172
2013,2,PI 378130,1.782,79.317
2013,4,PI 233812,2.27,79.435
2013,2,PI 613049,2.498,79.74
2013,1,PI 556990,2.131,79.792
2013,1,PI 613043,1.876,79.954
2013,3,PI 418901,2.204,80.444
2013,3,PI 613043,2.042,80.746
2013,3,PI 418900,2.432,80.905
2013,4,PI 613048,2.032,80.946
2013,3,PI 655006,2.028,81.069
2013,4,PI 561943,2.538,81.289
2013,4,PI 613049,1.958,81.652
2013,3,PI 251563,2.434,81.816
2013,3,PI 663850,2.603,82.26
2013,4,PI 378130,1.65,82.276
2013,1,PI 561569,2.271,82.538
2013,3,PI 499564,1.971,82.562
2013,3,PI 613048,2.044,82.602
2013,2,PI 418900,1.969,82.643
2013,3,PI 556990,1.998,82.643
2013,4,PI 251562,2.265,82.662
2013,1,PI 251563,2.379,82.744
2013,2,PI 561944,1.852,82.76
2013,3,PI 655007,1.869,82.784
2013,4,PI 655007,2.193,82.825
2013,2,PI 561943,1.955,82.861
2013,3,PI 561943,2.029,82.946
2013,4,PI 233279,1.613,83.086
2013,2,PI 613042,2.532,83.126
2013,1,PI 603034,1.943,83.289
2013,2,PI 369045,1.99,83.504
2013,2,PI 233812,2.451,83.511
2013,3,PI 561944,2.127,83.633
2013,1,PI 613042,2.126,83.81
2013,3,PI 422487,2.336,83.813
2013,4,PI 613043,2.111,83.853
2013,1,PI 663850,1.989,83.955
2013,3,PI 603034,2.175,83.956
2013,4,PI 663850,2.031,83.995
2013,1,PI 338674,2.131,84.015
2013,3,PI 233812,2.838,84.133
2013,3,PI 442556,1.949,84.278
2013,2,PI 499564,2.074,84.459
2013,1,PI 369045,2.129,84.478
2013,1,PI 251562,2.333,84.518
2013,4,PI 442556,1.914,84.52
2013,2,PI 251563,2.314,84.722
2013,1,PI 418901,2.013,84.782
2013,1,PI 233279,2.117,84.922
2013,1,PI 655006,2.297,84.923
2013,4,PI 556990,2.155,84.984
2013,2,PI 663850,1.909,85.468
2013,4,PI 418901,2.167,85.508
2013,2,PI 561569,1.955,85.69
2013,4,PI 422487,1.948,85.952
2013,1,PI 561942,1.729,86.171
2013,1,PI 655007,1.652,86.699
2013,3,PI 251562,2.016,86.738
2013,2,PI 603034,2.35,86.777
2013,2,PI 613043,1.997,86.798
2013,3,PI 561569,1.686,86.86
2013,1,PI 422487,1.56,86.918
2013,2,PI 613048,2.131,87.08
2013,2,PI 561942,2.002,87.123
2013,2,PI 655007,2.071,87.284
2013,4,PI 613042,2.199,87.504
2013,3,PI 613042,1.919,88.513
2013,3,PI 561942,1.863,88.555
2013,2,PI 442556,1.751,89.221
2013,4,PI 655006,1.862,90.392
2013,2,PI 251562,1.925,91.115
2013,1,PI 499564,1.47,91.985
