PI,Year,Rep,gddto25
PI 561943,2014,3,1579.7
PI 561943,2015,3,1429.7
PI 561943,2015,4,1429.7
PI 561944,2013,1,1546.9
PI 561944,2013,2,1552.4
PI 561944,2013,4,1545.2
PI 561944,2014,1,1476.2
PI 561944,2014,2,1432.6
PI 561944,2014,4,1432.6
PI 603034,2013,1,1696.3
PI 603034,2013,2,1696.3
PI 603034,2013,3,1600.4
PI 603034,2013,4,1660.3
PI 603034,2014,1,1588.6
PI 603034,2014,2,1548.8
PI 603034,2014,3,1613
PI 603034,2014,4,1588.6
PI 603034,2015,1,1598.1
PI 603034,2015,2,1612.2
PI 603034,2015,3,1604
PI 603034,2015,4,1609.1
PI 613042,2013,1,1578.6
PI 613042,2013,2,1559
PI 613042,2013,3,1559
PI 613042,2013,4,1588.4
PI 613042,2014,1,1548.8
PI 613042,2014,3,1610
PI 613042,2014,4,1590.1
PI 613042,2015,1,1529.8
PI 613042,2015,2,1562.8
PI 613042,2015,3,1548
PI 613042,2015,4,1562.8
PI 613043,2013,1,1600.4
PI 613043,2013,2,1600.4
PI 613043,2013,3,1600.4
PI 613043,2013,4,1576.4
PI 613043,2014,1,1588.6
PI 613043,2014,2,1548.8
PI 613043,2014,3,1568.5
PI 613043,2014,4,1590.1
PI 613043,2015,2,1575.1
PI 613043,2015,3,1562.8
PI 613043,2015,4,1578.2
PI 613044,2013,1,1600.4
PI 613044,2013,2,1576.4
PI 613044,2013,3,1559
PI 613044,2013,4,1559
PI 613044,2014,1,1598.9
PI 613044,2014,2,1548.8
PI 613044,2014,4,1590.1
PI 613044,2015,1,1546.3
PI 613044,2015,2,1521.5
PI 613044,2015,3,1537.8
PI 613044,2015,4,1562.8
PI 613045,2013,1,1600.4
PI 613045,2013,2,1588.4
PI 613045,2013,3,1559
PI 613045,2013,4,1552.4
PI 613045,2014,1,1566
PI 613045,2014,2,1548.8
PI 613045,2014,3,1548.8
PI 613045,2015,1,1548
PI 613045,2015,2,1521.5
PI 613045,2015,3,1530.2
PI 613045,2015,4,1516.6
PI 613046,2013,1,1559
PI 613046,2013,2,1546.9
PI 613046,2013,3,1578.6
PI 613046,2013,4,1566.8
